good_id,type,price
G001,Croissant,3.50
G002,Blueberry Muffin,2.75
G003,Chocolate Cake Slice,4.25
G004,Cinnamon Roll,3.95
G005,Sourdough Loaf,5.50
G006,Red Velvet Cupcake,3.25
G007,Lemon Tart,4.10
G008,Cheese Danish,3.80
G009,Macaron Box,6.75
G010,Banana Bread,4.60
G011,Eclair,3.90
G012,Pumpkin Muffin,2.95
G013,Chocolate Chip Cookie,1.85
G014,Strawberry Shortcake,4.40
G015,Bagel,1.50
G016,Pretzel,2.20
G017,Caramel Brownie,2.65
G018,Vanilla Cheesecake Slice,4.55
G019,Almond Biscotti,2.10
G020,Raspberry Scone,3.15
