order_number,emp_id,date_assigned,completion_status
O1001,E003,2026-02-01,Completed
O1002,E004,2026-02-01,Completed
O1003,E006,2026-02-02,Completed
O1004,E007,2026-02-02,Completed
O1005,E008,2026-02-03,Completed
O1006,E009,2026-02-03,Completed
O1007,E010,2026-02-04,Completed
O1008,E011,2026-02-04,Completed
O1009,E012,2026-02-05,Completed
O1010,E013,2026-02-05,Completed
O1011,E014,2026-02-06,Completed
O1012,E015,2026-02-06,Completed
O1013,E016,2026-02-07,Completed
O1014,E017,2026-02-07,Completed
O1015,E018,2026-02-08,Completed
O1016,E019,2026-02-08,Completed
O1017,E020,2026-02-09,In Progress
O1018,E003,2026-02-09,Completed
O1019,E004,2026-02-10,In Progress
O1020,E006,2026-02-10,Assigned
