good_id,order_number,total,location
G001,O1001,7.00,Storefront
G002,O1002,5.50,Storefront
G003,O1003,4.25,Online
G004,O1004,7.90,Storefront
G005,O1005,5.50,Storefront
G006,O1006,6.50,Online
G007,O1007,4.10,Storefront
G008,O1008,7.60,Storefront
G009,O1009,6.75,Online
G010,O1010,9.20,Storefront
G011,O1011,3.90,Storefront
G012,O1012,8.85,Online
G013,O1013,3.70,Storefront
G014,O1014,8.80,Storefront
G015,O1015,3.00,Storefront
G016,O1016,4.40,Online
G017,O1017,5.30,Storefront
G018,O1018,4.55,Storefront
G019,O1019,4.20,Online
G020,O1020,6.30,Storefront
